Image,SSIM (Blurry),SSIM (Student)
0087_256_256.jpg,0.8638,0.8522
0087_256_512.jpg,0.8723,0.8657
0087_256_768.jpg,0.8009,0.7965
0087_512_0.jpg,0.8288,0.8213
0087_512_1024.jpg,0.793,0.7942
0087_512_1280.jpg,0.7951,0.7911
0087_512_1536.jpg,0.6939,0.6783
0087_512_256.jpg,0.8716,0.8595
0087_512_512.jpg,0.8543,0.8467
0087_512_768.jpg,0.789,0.7806
0087_768_0.jpg,0.8016,0.7925
0087_768_1024.jpg,0.752,0.7514
0087_768_1280.jpg,0.7966,0.7864
0087_768_1536.jpg,0.7725,0.7655
0087_768_256.jpg,0.8365,0.8313
0087_768_512.jpg,0.8009,0.79
0087_768_768.jpg,0.7769,0.7695
0110_0_0.jpg,0.8234,0.804
0110_0_1024.jpg,0.9246,0.8505
0110_0_1280.jpg,0.9032,0.8858
0110_0_1536.jpg,0.852,0.761
0110_0_256.jpg,0.6406,0.6284
0110_0_512.jpg,0.8866,0.8221
0110_0_768.jpg,0.9622,0.938
0110_1024_0.jpg,0.9761,0.9666
0110_1024_1024.jpg,0.9012,0.896
0110_1024_1280.jpg,0.9424,0.9342
0110_1024_1536.jpg,0.9603,0.9579
0110_1024_256.jpg,0.8662,0.8611
0110_1024_512.jpg,0.979,0.974
0110_1024_768.jpg,0.9509,0.943
0110_256_0.jpg,0.8902,0.8799
0110_256_1024.jpg,0.7428,0.7288
0110_256_1280.jpg,0.7196,0.7047
0110_256_1536.jpg,0.8439,0.8263
0110_256_256.jpg,0.9306,0.9086
0110_256_512.jpg,0.8689,0.8465
0110_256_768.jpg,0.9104,0.8824
0110_512_0.jpg,0.8306,0.8217
0110_512_1024.jpg,0.9544,0.9352
0110_512_1280.jpg,0.8958,0.8826
0110_512_1536.jpg,0.9254,0.9121
0110_512_256.jpg,0.8974,0.8873
0110_512_512.jpg,0.8738,0.8611
0110_512_768.jpg,0.9048,0.8979
0110_768_0.jpg,0.9169,0.9098
0110_768_1024.jpg,0.8705,0.8612
0110_768_1280.jpg,0.9252,0.9205
0110_768_1536.jpg,0.9127,0.9048
0110_768_256.jpg,0.9277,0.9145
0110_768_512.jpg,0.9432,0.9369
0110_768_768.jpg,0.9468,0.9439
0140_0_0.jpg,0.8689,0.8571
0140_0_1024.jpg,0.9455,0.9301
0140_0_1280.jpg,0.9461,0.9346
0140_0_1536.jpg,0.8249,0.815
0140_0_256.jpg,0.8485,0.839
0140_0_512.jpg,0.8996,0.8833
0140_0_768.jpg,0.9338,0.9207
0140_1024_0.jpg,0.8223,0.8121
0140_1024_1024.jpg,0.6578,0.6488
0140_1024_1280.jpg,0.7533,0.74
0140_1024_1536.jpg,0.6572,0.6502
0140_1024_256.jpg,0.6556,0.6456
0140_1024_512.jpg,0.5849,0.5767
0140_1024_768.jpg,0.6284,0.6197
0140_256_0.jpg,0.8497,0.8405
0140_256_1024.jpg,0.7394,0.7272
0140_256_1280.jpg,0.839,0.8215
0140_256_1536.jpg,0.5459,0.5347
0140_256_256.jpg,0.8675,0.8555
0140_256_512.jpg,0.9051,0.8929
0140_256_768.jpg,0.9503,0.9401
0140_512_0.jpg,0.7733,0.7597
0140_512_1024.jpg,0.6715,0.6591
0140_512_1280.jpg,0.7169,0.7018
0140_512_1536.jpg,0.5513,0.5329
0140_512_256.jpg,0.7486,0.7385
0140_512_512.jpg,0.7553,0.7434
0140_512_768.jpg,0.8644,0.8468
0140_768_0.jpg,0.7138,0.7018
0140_768_1024.jpg,0.6461,0.6344
0140_768_1280.jpg,0.7706,0.7559
0140_768_1536.jpg,0.5481,0.537
0140_768_256.jpg,0.6957,0.6878
0140_768_512.jpg,0.6005,0.5927
0140_768_768.jpg,0.6995,0.6907
0169_0_0.jpg,0.6949,0.6831
0169_0_1024.jpg,0.7664,0.7526
0169_0_1280.jpg,0.7846,0.7741
0169_0_1536.jpg,0.8658,0.8558
0169_0_256.jpg,0.7871,0.7779
0169_0_512.jpg,0.783,0.7698
0169_0_768.jpg,0.7883,0.7771
0169_1024_0.jpg,0.9014,0.8808
0169_1024_1024.jpg,0.8828,0.8707
0169_1024_1280.jpg,0.9061,0.8907
0169_1024_1536.jpg,0.8767,0.8685
0169_1024_256.jpg,0.8875,0.8743
0169_1024_512.jpg,0.871,0.8558
0169_1024_768.jpg,0.7969,0.7851
0169_256_0.jpg,0.8414,0.8358
0169_256_1024.jpg,0.8384,0.8328
0169_256_1280.jpg,0.7501,0.7488
0169_256_1536.jpg,0.8276,0.8266
0169_256_256.jpg,0.7624,0.752
0169_256_512.jpg,0.8352,0.8247
0169_256_768.jpg,0.8234,0.8095
0169_512_0.jpg,0.837,0.8282
0169_512_1024.jpg,0.883,0.8736
0169_512_1280.jpg,0.8628,0.852
0169_512_1536.jpg,0.8371,0.8274
0169_512_256.jpg,0.8316,0.8238
0169_512_512.jpg,0.8222,0.8105
0169_512_768.jpg,0.8579,0.8515
0169_768_0.jpg,0.8398,0.8278
0169_768_1024.jpg,0.8428,0.8285
0169_768_1280.jpg,0.8613,0.8548
0169_768_1536.jpg,0.8197,0.8063
0169_768_256.jpg,0.8274,0.814
0169_768_512.jpg,0.8335,0.8231
0169_768_768.jpg,0.815,0.8021
0175_0_0.jpg,0.5477,0.5343
0175_0_1024.jpg,0.5392,0.5301
0175_0_1280.jpg,0.5525,0.5429
0175_0_1536.jpg,0.6971,0.6886
0175_0_256.jpg,0.5062,0.4906
0175_0_512.jpg,0.5473,0.5329
0175_0_768.jpg,0.5352,0.5226
0175_256_0.jpg,0.4624,0.4427
0175_256_1024.jpg,0.4147,0.4046
0175_256_1280.jpg,0.4329,0.4224
0175_256_1536.jpg,0.6385,0.6311
0175_256_256.jpg,0.4611,0.4442
0175_256_512.jpg,0.4205,0.4056
0175_256_768.jpg,0.3934,0.381
0175_512_0.jpg,0.7715,0.7678
0175_512_1024.jpg,0.6725,0.666
0175_512_1280.jpg,0.7792,0.7725
0175_512_1536.jpg,0.7822,0.7749
0175_512_256.jpg,0.7548,0.7483
0175_512_512.jpg,0.7374,0.7289
0175_512_768.jpg,0.7206,0.7137
